date,county,state,fips,cases,deaths
2022-03-11,Autauga,Alabama,01001,15563,208
2022-03-11,Baldwin,Alabama,01003,55171,662
2022-03-11,Barbour,Alabama,01005,5461,94
2022-03-11,Bibb,Alabama,01007,6401,100
2022-03-11,Blount,Alabama,01009,14869,227
2022-03-11,Bullock,Alabama,01011,2282,52
2022-03-11,Butler,Alabama,01013,5041,124
2022-03-11,Calhoun,Alabama,01015,32241,602
2022-03-11,Chambers,Alabama,01017,8447,158
2022-03-11,Cherokee,Alabama,01019,5103,81
2022-03-11,Chilton,Alabama,01021,10801,197
2022-03-11,Choctaw,Alabama,01023,2041,35
2022-03-11,Clarke,Alabama,01025,7075,98
2022-03-11,Clay,Alabama,01027,4084,80
2022-03-11,Cleburne,Alabama,01029,3552,68
2022-03-11,Coffee,Alabama,01031,13330,228
2022-03-11,Colbert,Alabama,01033,16226,246
2022-03-11,Conecuh,Alabama,01035,2841,69
2022-03-11,Coosa,Alabama,01037,2932,56
2022-03-11,Covington,Alabama,01039,9253,224
2022-03-11,Crenshaw,Alabama,01041,3781,95
2022-03-11,Cullman,Alabama,01043,24468,356
2022-03-11,Dale,Alabama,01045,12443,224
2022-03-11,Dallas,Alabama,01047,8349,236
2022-03-11,DeKalb,Alabama,01049,18699,321
2022-03-11,Elmore,Alabama,01051,22929,336
2022-03-11,Escambia,Alabama,01053,9972,165
2022-03-11,Etowah,Alabama,01055,28745,624
2022-03-11,Fayette,Alabama,01057,4967,93
2022-03-11,Franklin,Alabama,01059,9837,137
2022-03-11,Geneva,Alabama,01061,6202,159
2022-03-11,Greene,Alabama,01063,1859,48
2022-03-11,Hale,Alabama,01065,4673,102
2022-03-11,Henry,Alabama,01067,4447,71
2022-03-11,Houston,Alabama,01069,24968,488
2022-03-11,Jackson,Alabama,01071,14995,231
2022-03-11,Jefferson,Alabama,01073,183787,2263
2022-03-11,Lamar,Alabama,01075,3697,62
2022-03-11,Lauderdale,Alabama,01077,23993,376
2022-03-11,Lawrence,Alabama,01079,7611,153
2022-03-11,Lee,Alabama,01081,37568,326
2022-03-11,Limestone,Alabama,01083,24759,279
2022-03-11,Lowndes,Alabama,01085,2603,75
2022-03-11,Macon,Alabama,01087,3841,81
2022-03-11,Madison,Alabama,01089,88734,917
2022-03-11,Marengo,Alabama,01091,5157,104
2022-03-11,Marion,Alabama,01093,8051,149
2022-03-11,Marshall,Alabama,01095,27242,377
2022-03-11,Mobile,Alabama,01097,112899,1602
2022-03-11,Monroe,Alabama,01099,5261,78
2022-03-11,Montgomery,Alabama,01101,54540,900
2022-03-11,Morgan,Alabama,01103,35931,494
2022-03-11,Perry,Alabama,01105,2090,43
2022-03-11,Pickens,Alabama,01107,5235,99
2022-03-11,Pike,Alabama,01109,7421,130
2022-03-11,Randolph,Alabama,01111,5056,74
2022-03-11,Russell,Alabama,01113,10018,84
2022-03-11,Shelby,Alabama,01117,60048,431
2022-03-11,St. Clair,Alabama,01115,25181,407
2022-03-11,Sumter,Alabama,01119,2564,49
2022-03-11,Talladega,Alabama,01121,22232,363
2022-03-11,Tallapoosa,Alabama,01123,11340,227
2022-03-11,Tuscaloosa,Alabama,01125,55427,744
2022-03-11,Walker,Alabama,01127,18515,426
2022-03-11,Washington,Alabama,01129,3720,58
2022-03-11,Wilcox,Alabama,01131,2869,44
2022-03-11,Winston,Alabama,01133,7561,122
2022-03-11,Aleutians East Borough,Alaska,02013,1036,3
2022-03-11,Aleutians West Census Area,Alaska,02016,1671,1
